industry,industry_category,country,state,sector,size,assessment_year,certification_cycle,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_environment_it_air_climate
Beverages,Wholesale,United States,Massachusetts,Wholesale/Retail, 0,2017,1.0,84.9,53.0,0.0,22.3,9.3,23.9,0.0,0.0,0.3,0.0,1.7,2.9
Equity investing - Developed Markets,Financial & insurance activities,United Kingdom,London,Service, 1-9,2021,1.0,98.1,24.8,31.4,1.0,20.9,14.4,3.1,0.0,0.9,0.0,1.5,0.0
Apparel,Retail,Colombia,Antioquia Department,Wholesale/Retail, 10-49,2023,1.0,110.1,36.6,2.7,21.4,17.1,22.4,4.4,0.0,2.0,0.0,3.2,6.3
Environmental consulting,Professional & technical services,United States,Pennsylvania,Service, 10-49,2023,1.0,113.6,22.8,15.6,7.1,19.3,40.4,3.3,0.0,4.9,0.0,0.0,3.1
Other personal services,Other services,United Kingdom,Surrey,Service, 10-49,2023,1.0,116.2,45.1,4.5,8.2,23.0,30.8,2.6,0.0,0.6,0.0,1.0,0.6
Other manufacturing,Manufactured Goods,United States,New York,Manufacturing, 1-9,2017,1.0,81.8,46.6,0.0,9.0,13.1,12.6,0.0,0.0,0.2,0.0,0.3,2.9
Other human health,Human health & social work,Netherlands The,Limburg,Service, 250-999,2021,1.0,84.8,21.4,3.0,5.8,17.5,31.6,1.9,0.4,0.0,0.0,2.7,1.4
Apparel,Wholesale,Netherlands The,Utrecht,Wholesale/Retail, 10-49,2023,1.0,104.1,38.5,2.8,14.8,14.3,29.3,3.4,0.0,0.0,0.0,0.8,5.0
Other business support,Administrative & support services,Italy,Lombardy,Service, 10-49,2023,1.0,86.0,15.3,15.1,1.6,20.9,27.9,2.4,0.0,0.0,0.0,2.6,0.6
Management consultant - for-profits,Professional & technical services,Canada,Quebec,Service, 0,2020,1.0,95.2,64.9,1.1,4.1,16.1,23.9,5.3,0.0,3.5,0.0,1.7,0.3
Restaurants & food service,Accommodation & food service,United Kingdom,Staffordshire,Service with Significant Environmental Footprint, 250-999,2023,1.0,85.7,33.0,3.4,8.9,15.9,23.3,0.0,0.0,0.1,0.0,0.8,2.5
Other personal services,Other services,Italy,Metropolitan City of Milan,Service, 10-49,2023,1.0,92.8,21.4,3.6,9.4,20.5,29.3,2.6,0.0,0.7,0.0,5.0,1.3
Jewelry & related articles,Retail,United States,New York,Wholesale/Retail, 0,2022,1.0,105.6,63.5,0.9,10.2,22.3,23.9,4.8,0.0,3.6,0.0,1.7,4.4
Advertising & market research,Professional & technical services,Canada,British Columbia,Service, 0,2021,1.0,85.8,36.9,22.1,4.1,14.8,23.9,4.1,0.0,3.5,0.0,1.7,0.3
Advertising & market research,Professional & technical services,Canada,British Columbia,Service, 0,2017,2.0,91.4,44.7,27.8,5.2,11.8,23.9,1.9,0.0,0.0,0.0,1.7,2.9
Advertising & market research,Professional & technical services,Canada,British Columbia,Service, 1-9,2016,3.0,94.4,35.2,6.2,7.9,13.9,28.4,1.3,0.0,1.6,0.0,0.0,2.9
Advertising & market research,Professional & technical services,Canada,British Columbia,Service, 1-9,2013,4.0,82.7,32.0,11.8,5.5,10.6,20.4,1.5,0.0,0.3,0.4,0.0,2.9
General retail via Internet,Retail,Guatemala,Solola,Wholesale/Retail, 1-9,2016,1.0,99.5,49.8,0.0,16.6,8.0,22.8,0.0,0.0,1.2,0.0,1.1,2.9
General retail via Internet,Retail,United States,North Carolina,Wholesale/Retail, 0,2021,1.0,106.4,57.5,12.9,5.8,19.5,23.9,6.9,0.0,3.7,0.0,1.7,0.3
Apparel,Retail,Canada,Quebec,Wholesale/Retail, 0,2024,1.0,101.4,60.7,3.5,6.9,19.0,23.9,8.4,0.0,2.7,0.0,1.7,1.3
Apparel,Retail,Canada,Quebec,Wholesale/Retail, 0,2020,2.0,86.0,49.4,3.0,6.2,19.7,23.9,7.2,0.0,0.2,0.0,1.7,1.3
"Other professional, scientific & tech",Professional & technical services,United States,Virginia,Service, 1-9,2024,1.0,99.5,20.9,16.0,5.8,14.4,35.7,1.1,0.0,5.3,0.0,0.0,1.8
"Other professional, scientific & tech",Professional & technical services,United States,Virginia,Service, 1-9,2021,2.0,101.2,23.3,15.3,5.8,14.3,35.7,1.2,0.0,5.3,0.0,0.0,1.8
"Film, TV & music production","Arts, entertainment & recreation",Brazil,São Paulo,Service, 1-9,2017,1.0,114.1,29.1,27.7,11.8,15.2,26.3,0.0,0.0,3.0,0.0,1.0,2.9
"Film, TV & music production","Arts, entertainment & recreation",Brazil,São Paulo,Service, 1-9,2014,2.0,97.0,30.5,13.8,11.3,8.0,29.7,2.6,0.0,1.2,0.0,0.0,2.9
Employment placement & HR,Administrative & support services,Australia,New South Wales,Service, 10-49,2022,1.0,93.2,20.6,3.8,10.7,19.0,35.3,3.1,0.0,0.0,0.0,0.5,2.8
Employment placement & HR,Administrative & support services,Australia,New South Wales,Service, 10-49,2018,2.0,81.3,21.6,7.0,8.0,11.1,30.1,1.4,0.0,0.5,0.0,1.1,2.9
Apparel,Retail,United States,Illinois,Wholesale/Retail, 1-9,2020,1.0,82.6,37.3,3.0,10.1,13.7,17.5,0.0,0.0,0.7,0.0,0.0,0.8
Apparel,Retail,United States,Illinois,Wholesale/Retail, 1-9,2016,2.0,81.5,45.2,0.0,9.7,12.0,13.7,0.0,0.0,0.0,0.0,0.9,2.9
Apparel,Retail,United States,Illinois,Wholesale/Retail, 0,2014,3.0,83.2,60.3,1.4,7.9,12.1,0.0,1.4,0.0,0.0,0.0,0.0,2.9
Apparel,Retail,United States,Illinois,Wholesale/Retail, 0,2012,4.0,82.3,58.2,0.7,4.4,13.6,0.0,1.0,0.0,0.2,4.0,0.0,2.9
Environmental consulting,Professional & technical services,Brazil,Rio Grande do Sul,Service, 10-49,2025,1.0,102.5,25.1,2.5,22.3,17.5,24.2,2.9,0.0,0.0,0.0,7.7,1.3
Environmental consulting,Professional & technical services,Brazil,Rio Grande do Sul,Service, 10-49,2020,2.0,104.1,26.4,2.5,22.3,17.0,23.6,3.1,0.0,0.0,0.0,8.9,1.3
Beverages,Manufactured Goods,Argentina,Buenos Aires Province,Manufacturing, 50-249,2021,1.0,97.3,16.6,2.9,31.6,15.5,20.6,2.8,0.0,1.9,0.0,5.1,6.2
"Other professional, scientific & tech",Professional & technical services,United Kingdom,London Borough of Camden,Service, 50-249,2021,1.0,82.5,19.1,17.0,1.0,17.6,25.8,0.0,0.0,0.9,0.0,0.7,0.0
"Other professional, scientific & tech",Professional & technical services,United Kingdom,London Borough of Camden,Service, 50-249,2017,2.0,90.9,22.2,14.7,6.6,17.0,28.6,0.5,0.0,0.0,0.0,1.1,2.9
"Other professional, scientific & tech",Professional & technical services,United Kingdom,London Borough of Camden,Service, 50-249,2016,3.0,85.7,21.3,16.1,6.9,11.4,28.0,0.5,0.0,0.0,0.0,1.4,2.9
Management consultant - for-profits,Professional & technical services,United States,Nebraska,Service, 1-9,2024,1.0,97.0,21.5,18.1,2.8,17.7,31.3,2.8,0.0,2.5,0.0,0.0,0.0
Management consultant - for-profits,Professional & technical services,United States,Nebraska,Service, 10-49,2020,2.0,96.1,24.5,15.5,2.8,16.9,30.7,3.1,0.0,2.4,0.0,0.0,0.0
Other retail sale,Retail,United Kingdom,Kent,Wholesale/Retail, 10-49,2021,1.0,93.6,21.0,2.5,31.9,18.5,17.7,0.0,0.0,0.0,0.0,1.7,7.0
Advertising & market research,Professional & technical services,United States,Colorado,Service, 10-49,2019,1.0,80.1,21.2,4.4,2.8,16.4,29.8,0.0,0.0,2.4,0.0,2.8,0.0
Other retail sale,Retail,United Kingdom,Caerphilly County Borough,Wholesale/Retail, 10-49,2023,1.0,81.8,16.5,2.5,21.7,15.4,22.0,2.8,0.0,0.6,0.0,0.0,8.4
Other info service activities,"Information, communication & technology",United States,California,Service, 10-49,2021,1.0,91.6,16.7,12.3,4.7,22.8,30.0,2.2,0.0,0.4,0.0,2.1,0.8
Other info service activities,"Information, communication & technology",United States,California,Service, 10-49,2017,2.0,131.4,24.3,56.9,2.3,13.2,31.7,0.9,0.0,0.0,0.0,1.9,2.9
Other info service activities,"Information, communication & technology",United States,California,Service, 10-49,2014,3.0,151.5,36.2,59.8,5.7,13.9,31.8,1.4,0.0,0.0,0.0,2.6,2.9
Other info service activities,"Information, communication & technology",United States,California,Service with Minor Environmental Footprint, 10-49,2008,4.0,166.0,47.9,66.7,10.6,11.1,29.7,0.0,0.0,0.0,0.0,0.0,2.9
Textiles,Retail,Argentina,Autonomous City Of Buenos Aires,Wholesale/Retail, 10-49,2024,1.0,110.2,38.6,9.9,19.5,16.3,14.7,3.7,0.0,0.3,0.0,6.9,3.7
Textiles,Retail,Argentina,Autonomous City Of Buenos Aires,Wholesale/Retail, 10-49,2021,2.0,104.4,39.3,9.8,16.9,16.3,12.9,3.5,0.0,0.3,0.0,4.9,3.4
Textiles,Retail,Argentina,Autonomous City Of Buenos Aires,Wholesale/Retail, 1-9,2018,3.0,84.2,38.8,5.1,9.8,5.6,21.6,0.0,0.0,1.9,0.0,1.0,2.9
Management consultant - nonprofits,Professional & technical services,United States,Maryland,Service, 1-9,2019,1.0,87.5,13.7,28.1,4.4,13.8,25.0,2.3,0.0,0.0,0.0,0.0,1.0
Real estate development,"Real estate, design & building",United States,Florida,Service, 1-9,2020,1.0,149.4,58.5,3.2,20.5,22.3,34.7,0.0,0.0,6.3,0.0,3.5,4.5
Real estate development,"Real estate, design & building",United States,Florida,Service, 0,2018,2.0,107.7,66.9,0.0,18.1,20.8,23.9,1.9,0.0,0.0,0.0,1.7,2.9
Beverages,Wholesale,United States,Florida,Wholesale/Retail, 10-49,2021,1.0,81.3,29.5,3.1,8.2,13.9,21.0,0.0,0.0,2.3,0.0,3.0,0.2
Management consultant - nonprofits,Professional & technical services,Uganda,Kampala District,Service, 0,2021,1.0,92.4,30.8,39.2,1.5,16.5,23.9,3.1,0.0,1.0,0.0,1.7,0.5
Management consultant - nonprofits,Professional & technical services,Uganda,Kampala District,Service, 0,2018,2.0,113.5,59.3,35.1,1.9,12.5,23.9,4.2,0.0,0.2,0.0,1.7,2.9
Personal care products,Retail,Taiwan,Taipei,Wholesale/Retail, 50-249,2022,1.0,101.0,25.3,4.5,28.2,11.2,27.7,2.7,0.0,0.0,0.0,1.1,6.4
Personal care products,Retail,Taiwan,Taipei,Wholesale/Retail, 50-249,2019,2.0,87.0,16.4,3.7,30.3,7.4,19.0,1.9,0.0,0.8,0.0,7.2,4.9
Management consultant - for-profits,Professional & technical services,France,Île-de-France,Service, 10-49,2021,1.0,90.6,21.4,4.8,8.8,20.9,28.5,0.0,0.0,0.0,0.0,6.0,2.9
Food products,Manufactured Goods,Canada,British Columbia,Manufacturing, 1-9,2024,1.0,98.3,31.2,3.5,22.7,14.0,18.7,3.3,0.0,0.7,0.0,3.9,6.0
Food products,Manufactured Goods,Canada,British Columbia,Manufacturing, 1-9,2021,2.0,87.1,30.0,3.0,21.4,11.8,14.3,3.0,0.0,1.0,0.0,2.1,6.5
Investment advising,Financial & insurance activities,United States,North Carolina,Service, 10-49,2021,1.0,131.9,22.7,46.8,7.3,17.4,34.7,2.8,0.0,0.0,0.0,0.0,0.6
Apparel,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 10-49,2024,1.0,100.5,16.4,3.2,37.6,16.1,20.5,3.2,0.0,0.0,0.0,3.2,6.7
Apparel,Wholesale,Denmark,Capital Region of Denmark,Wholesale/Retail, 10-49,2021,2.0,86.6,16.3,1.6,27.9,15.3,18.2,3.2,0.0,0.0,0.0,3.8,3.4
Other manufacturing,Manufactured Goods,Indonesia,West Java,Manufacturing, 10-49,2022,1.0,81.5,12.0,1.6,36.7,7.7,16.3,2.7,0.0,0.0,0.0,4.1,7.7
Other manufacturing,Manufactured Goods,Indonesia,West Java,Manufacturing, 10-49,2019,2.0,80.6,13.2,1.4,37.1,6.6,15.5,2.7,0.0,0.0,0.0,3.9,2.5
Jewelry & related articles,Retail,Netherlands The,Utrecht,Wholesale/Retail, 0,2021,1.0,89.7,61.0,3.8,3.7,13.3,23.9,6.2,0.0,1.4,0.0,1.7,0.5
General retail via Internet,Retail,Canada,Quebec,Wholesale/Retail, 1-9,2021,1.0,88.6,15.8,2.4,24.4,14.0,19.3,3.3,0.0,6.4,0.0,2.7,4.0
"Other professional, scientific & tech",Professional & technical services,United States,Georgia,Service, 1-9,2020,1.0,101.3,29.3,25.4,1.7,20.6,19.4,3.5,0.0,0.3,0.0,0.8,0.1
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Holland,Service, 250-999,2022,1.0,101.2,18.1,6.3,15.4,20.1,37.8,1.6,0.5,0.0,0.0,1.1,5.7
Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Holland,Service, 50-249,2019,2.0,80.4,15.1,3.7,7.4,16.1,34.8,2.1,0.0,0.0,0.0,1.1,0.6
Textiles,Manufactured Goods,Italy,Province of Bergamo,Manufacturing, 250-999,2021,1.0,81.9,10.5,3.0,37.3,12.5,15.8,0.0,0.0,0.0,0.0,2.5,4.7
Mobile applications,"Information, communication & technology",United States,Colorado,Service, 0,2022,1.0,107.5,21.5,52.1,4.7,22.3,23.9,2.8,0.0,3.9,0.0,1.7,0.1
Mobile applications,"Information, communication & technology",United States,Colorado,Service, 0,2018,2.0,93.7,23.9,42.9,2.8,22.2,23.9,0.9,0.0,0.8,0.0,1.7,2.9
Apparel,Retail,Brazil,São Paulo,Wholesale/Retail, 10-49,2020,1.0,80.1,18.3,21.8,14.3,4.5,11.8,3.4,0.0,0.4,0.0,5.3,2.2
Personal care products,Retail,Belgium,East Flanders,Wholesale/Retail, 10-49,2023,1.0,93.7,19.6,2.3,21.1,13.2,30.5,3.1,0.0,0.0,0.0,3.6,2.4
Food products,Manufactured Goods,Latvia,Mārupe Municipality,Manufacturing, 10-49,2021,1.0,91.8,28.6,3.4,21.2,8.5,27.6,0.0,0.0,0.3,0.0,1.9,5.2
Leather & related products,Retail,United States,California,Wholesale/Retail, 0,2024,1.0,87.1,32.7,3.3,21.6,19.1,23.9,6.2,0.0,4.0,0.0,1.7,1.8
Leather & related products,Retail,United States,California,Wholesale/Retail, 0,2019,2.0,81.2,30.5,3.3,18.6,19.1,23.9,6.4,0.0,3.1,0.0,1.7,0.8
Other human health,Human health & social work,China,Shanghai,Service, 10-49,2021,1.0,99.1,21.0,13.0,6.9,13.7,34.2,2.4,0.0,0.3,0.0,7.4,0.3
Other human health,Human health & social work,China,Shanghai,Service, 10-49,2018,2.0,87.3,22.0,11.2,4.5,13.6,35.9,0.0,0.0,0.0,0.0,0.0,2.9
Other human health,Human health & social work,China,Shanghai,Service, 10-49,2016,3.0,80.6,23.7,15.0,2.1,12.9,26.9,0.0,0.0,0.0,0.0,0.0,2.9
"Other professional, scientific & tech",Professional & technical services,United Kingdom,Norfolk,Service, 10-49,2022,1.0,121.1,19.4,2.6,7.9,18.6,69.6,0.0,0.8,0.6,0.0,1.2,0.8
Textiles,Manufactured Goods,United Kingdom,Leeds,Manufacturing, 10-49,2025,1.0,95.0,18.6,5.0,16.3,18.3,30.7,3.3,0.0,1.0,0.0,1.3,6.5
Textiles,Manufactured Goods,United Kingdom,Leeds,Manufacturing, 10-49,2021,2.0,85.3,14.4,5.0,14.3,15.9,29.8,3.3,0.0,1.1,0.0,1.3,2.3
Growing non-perennial crops,"Agriculture, forestry & fishing",United States,Kentucky,Manufacturing, 250-999,2021,1.0,95.4,12.1,0.5,39.7,18.8,22.2,1.1,0.0,0.4,0.0,0.2,3.3
Growing non-perennial crops,"Agriculture, forestry & fishing",United States,Kentucky,Manufacturing, 10-49,2019,2.0,82.8,13.2,0.0,33.5,14.4,19.1,2.5,0.0,0.0,0.0,0.0,1.3
Advertising & market research,Professional & technical services,Argentina,Tucumán Province,Service, 50-249,2021,1.0,94.8,26.2,1.6,6.8,13.6,36.2,0.0,0.2,3.9,0.0,5.8,1.2
Non-life insurance,Financial & insurance activities,United States,Ohio,Service, 50-249,2020,1.0,82.0,20.6,3.6,2.3,17.5,31.4,2.1,0.0,2.2,0.0,2.1,0.0
Environmental consulting,Professional & technical services,United States,Maryland,Service, 1-9,2024,1.0,113.8,26.9,25.7,6.1,16.2,28.1,3.4,0.0,4.5,0.0,2.5,2.3
Environmental consulting,Professional & technical services,United States,Maryland,Service, 1-9,2021,2.0,110.5,23.6,34.4,4.1,16.4,21.9,3.2,0.0,3.0,0.0,3.6,0.3
Environmental consulting,Professional & technical services,United States,Maryland,Service, 1-9,2017,3.0,133.4,44.9,38.2,11.4,14.3,21.6,1.3,0.0,0.0,0.0,1.3,2.9
Environmental consulting,Professional & technical services,United States,Maryland,Service, 1-9,2015,4.0,132.9,43.8,28.9,12.3,14.5,29.6,1.4,0.0,0.0,0.0,2.4,2.9
Environmental consulting,Professional & technical services,United States,Maryland,Service, 1-9,2013,5.0,162.1,42.2,51.6,13.1,17.4,37.3,0.0,0.0,0.2,0.0,0.0,2.9
Environmental consulting,Professional & technical services,United States,Maryland,Service with Minor Environmental Footprint, 1-9,2010,6.0,108.6,19.0,35.0,14.1,7.0,33.5,0.0,0.0,0.0,0.0,0.0,2.9
General retail via Internet,Retail,Chile,Santiago Metropolitan Region,Wholesale/Retail, 10-49,2021,1.0,84.1,17.5,2.7,27.5,13.0,12.8,3.2,0.0,0.0,0.0,7.0,4.0
Web portals,"Information, communication & technology",Chile,Santiago Metropolitan Region,Wholesale/Retail, 10-49,2018,2.0,82.9,18.8,1.9,28.6,8.7,18.2,0.8,0.0,4.0,0.0,1.5,2.9
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,London Borough of Southwark,Service, 10-49,2023,1.0,93.2,11.4,16.6,3.7,17.8,35.2,1.7,0.0,3.2,0.0,3.2,0.9
Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,London Borough of Southwark,Service, 50-249,2019,2.0,84.0,14.0,21.0,7.1,6.5,31.1,1.5,0.0,0.0,0.0,2.6,1.9
Growing perennial crops,"Agriculture, forestry & fishing",Australia,New South Wales,Agriculture/Growers, 10-49,2022,1.0,107.6,16.6,4.2,27.1,16.8,21.8,5.3,0.0,9.5,0.0,5.8,6.0
Investment advising,Financial & insurance activities,United States,Pennsylvania,Service, 1-9,2025,1.0,92.8,16.8,23.1,2.7,14.0,29.5,2.6,0.4,0.0,0.0,3.1,0.6
Investment advising,Financial & insurance activities,United States,Pennsylvania,Service, 1-9,2021,2.0,85.6,17.5,16.9,2.7,13.8,28.3,2.7,0.2,0.0,0.0,2.9,0.6
Investment advising,Financial & insurance activities,United States,Pennsylvania,Service, 1-9,2017,3.0,97.2,41.5,12.4,2.5,8.9,29.4,0.0,0.3,0.0,0.0,1.8,2.9
Advertising & market research,Professional & technical services,United States,Massachusetts,Service, 1-9,2021,1.0,95.6,19.2,20.8,4.2,16.6,26.6,2.8,0.0,3.8,0.0,1.3,0.4
Advertising & market research,Professional & technical services,United States,Massachusetts,Service, 1-9,2018,2.0,92.9,22.9,23.4,5.6,14.1,24.3,0.8,0.0,0.0,0.0,1.4,2.9
Advertising & market research,Professional & technical services,United States,Massachusetts,Service, 1-9,2015,3.0,88.2,17.2,18.3,7.8,14.7,27.2,0.7,0.0,0.0,0.0,2.2,2.9
Advertising & market research,Professional & technical services,United States,Massachusetts,Service, 1-9,2013,4.0,98.8,17.2,36.1,3.5,9.7,29.4,0.8,0.0,0.0,0.4,1.2,2.9
Rubber & plastics products,Manufactured Goods,United States,North Carolina,Manufacturing, 50-249,2021,1.0,82.8,10.2,2.2,37.7,14.6,16.5,0.9,0.2,0.0,0.0,0.2,1.0
Rubber & plastics products,Manufactured Goods,United States,North Carolina,Manufacturing, 50-249,2018,2.0,89.9,16.9,0.0,39.9,16.5,16.1,0.0,0.0,0.0,0.0,0.4,2.9
Rubber & plastics products,Manufactured Goods,United States,North Carolina,Manufacturing, 50-249,2015,3.0,96.3,26.8,0.0,44.4,9.6,14.8,0.0,0.0,0.0,0.0,0.7,2.9
Rubber & plastics products,Manufactured Goods,United States,North Carolina,Manufacturing, 50-249,2013,4.0,80.0,14.8,0.7,42.8,12.8,8.1,0.1,0.0,0.1,0.0,0.3,2.9
Personal care products,Retail,United Kingdom,London Borough of Wandsworth,Wholesale/Retail, 0,2019,1.0,88.6,50.0,4.7,8.3,21.6,23.9,0.0,0.0,3.8,0.0,1.7,1.3
Personal care products,Manufactured Goods,Switzerland,Canton of Geneva,Manufacturing, 1000+,2023,1.0,85.4,20.3,4.3,22.0,16.9,21.7,0.2,0.0,0.3,0.0,3.4,2.9
Investment advising,Financial & insurance activities,United Kingdom,Antrim,Service, 1-9,2020,1.0,100.0,15.4,28.2,3.5,15.6,31.5,0.0,0.9,0.2,0.0,3.9,0.3
Agicultural support/post-harvest,"Agriculture, forestry & fishing",Netherlands The,Noord-Holland,Agriculture/Growers, 1-9,2021,1.0,85.7,25.1,3.6,14.7,14.1,10.8,3.5,0.0,7.6,0.0,6.1,2.7
Agicultural support/post-harvest,"Agriculture, forestry & fishing",Netherlands The,Noord-Holland,Agriculture/Growers, 1-9,2017,2.0,88.7,40.6,0.0,20.6,11.3,13.1,0.2,0.0,1.9,0.0,0.8,2.9
Agicultural support/post-harvest,"Agriculture, forestry & fishing",Netherlands The,Noord-Holland,Agriculture/Growers, 1-9,2015,3.0,89.9,49.8,0.0,17.2,6.0,11.7,0.2,0.0,4.0,0.0,0.9,2.9
Personal care products,Retail,Australia,Queensland,Wholesale/Retail, 1-9,2019,1.0,104.7,42.8,4.8,14.8,16.4,18.4,2.7,0.0,1.0,0.0,3.4,4.4
Other info service activities,"Information, communication & technology",United States,District of Columbia,Service, 10-49,2024,1.0,104.9,19.8,18.6,9.6,15.1,36.2,2.6,0.0,0.7,0.0,1.9,1.8
Other info service activities,"Information, communication & technology",United States,District of Columbia,Service, 10-49,2021,2.0,105.5,20.4,17.7,9.6,15.1,37.0,2.7,0.0,0.7,0.0,2.0,1.8
Other info service activities,"Information, communication & technology",United States,District of Columbia,Service, 10-49,2017,3.0,88.8,18.4,17.7,9.4,15.6,26.1,0.0,0.0,0.0,0.0,1.6,2.9
Other info service activities,"Information, communication & technology",United States,District of Columbia,Service, 10-49,2014,4.0,90.5,18.6,16.7,11.7,9.0,32.9,0.7,0.0,0.0,0.0,1.0,2.9
Other human health,Human health & social work,Japan,tokyo,Service, 1-9,2024,1.0,110.5,18.3,42.6,11.1,7.3,25.7,0.0,0.4,0.0,0.0,4.7,3.8
Other human health,Human health & social work,Japan,tokyo,Service, 1-9,2021,2.0,112.3,22.3,40.8,11.6,7.3,24.3,0.0,0.4,0.8,0.0,4.5,3.8
Other human health,Human health & social work,Japan,tokyo,Service, 1-9,2018,3.0,83.3,17.0,13.8,9.9,10.6,29.3,1.4,0.0,0.0,0.0,1.0,2.9
Other info service activities,"Information, communication & technology",Germany,North Rhine-Westphalia,Service, 10-49,2024,1.0,81.5,8.8,14.7,9.8,16.5,27.5,1.4,0.0,0.0,0.0,2.5,2.2
"Other professional, scientific & tech",Professional & technical services,United Kingdom,City of Bristol,Service, 1-9,2021,1.0,96.8,16.2,15.1,9.9,18.0,25.1,2.4,0.0,7.4,0.0,2.3,4.9
Social networks & info sharing,"Information, communication & technology",United Kingdom,City of Bristol,Service, 10-49,2017,2.0,80.2,25.4,1.5,9.7,13.3,27.8,1.4,0.0,0.0,0.0,1.1,2.9
Advertising & market research,Professional & technical services,United Kingdom,California,Service, 10-49,2025,1.0,95.0,31.2,3.4,7.1,16.4,31.5,2.4,0.0,0.0,0.0,2.8,0.8
Food products,Retail,Canada,British Columbia,Wholesale/Retail, 10-49,2025,1.0,93.2,24.2,4.5,24.5,16.8,22.1,0.0,0.0,0.0,0.0,0.8,5.4
Food products,Wholesale,Canada,British Columbia,Wholesale/Retail, 10-49,2021,2.0,92.7,23.9,4.5,25.2,16.2,21.4,0.0,0.0,0.4,0.0,0.7,4.7
Food products,Wholesale,Canada,British Columbia,Wholesale/Retail, 10-49,2018,3.0,81.9,22.7,0.0,26.8,8.8,22.1,0.0,0.0,0.3,0.0,0.8,2.9
"Other professional, scientific & tech",Professional & technical services,United Kingdom,United Kingdom,Service, 1-9,2023,1.0,81.7,20.1,2.3,5.5,16.4,29.7,0.0,0.0,5.0,0.0,2.5,1.0
Chemicals & chemical products,Manufactured Goods,France,Brittany,Manufacturing, 10-49,2021,1.0,82.2,15.8,1.7,26.7,14.7,18.9,0.0,0.0,0.0,0.0,4.3,3.7
Accounting & auditing,Professional & technical services,Belgium,Flanders,Service, 50-249,2022,1.0,83.6,15.4,3.0,7.1,17.9,34.6,2.2,0.7,0.0,0.0,2.3,1.0
Other education,Education,France,Île-de-France,Service with Significant Environmental Footprint, 10-49,2019,1.0,99.6,15.9,24.1,10.4,16.9,13.5,2.9,0.0,10.1,0.0,5.3,1.4
Other retail sale,Retail,Argentina,Autonomous City Of Buenos Aires,Wholesale/Retail, 1-9,2024,1.0,144.3,54.7,0.0,47.6,7.4,22.6,4.4,0.0,0.9,0.0,6.3,8.2
Other retail sale,Retail,Argentina,Autonomous City Of Buenos Aires,Wholesale/Retail, 0,2021,2.0,85.8,26.6,2.8,44.3,7.0,23.9,4.5,0.0,0.4,0.0,1.7,3.0
Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Service, 1-9,2024,1.0,93.8,31.0,16.2,8.0,14.3,19.4,2.6,0.0,0.0,0.0,2.0,1.4
Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Service, 1-9,2020,2.0,81.7,28.3,14.5,6.2,6.9,18.6,2.1,0.0,1.1,0.0,3.5,1.3
Management consultant - nonprofits,Professional & technical services,Australia,Victoria,Service, 1-9,2017,3.0,111.9,29.7,29.2,7.5,9.3,33.8,1.5,0.0,0.9,0.0,0.0,2.9
